user,age,status,gender,drinks,height,smokes,religion,genre,music_decade,music_vibe,listening_frequency,concert
user0,31,single,female,yes,168.0,no,hinduism,K-Pop,2020s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user1,50,single,female,yes,175.0,no,buddhism,K-Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user2,25,single,male,yes,188.0,no,confucianism,Traditional & Folk Music,2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user3,39,single,male,yes,175.0,no,hinduism,Pop,2010s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user4,22,single,male,yes,170.0,yes,buddhism,Indie/Alternative,1980s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user5,28,single,male,yes,183.0,no,buddhism,Pop,2010s,Relaxing and Chill,Only in specific situations,"Sometimes, depending on the artist or event"
user6,28,single,male,yes,175.0,no,hinduism,J-Pop,2020s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
user7,30,single,male,yes,178.0,no,roman catholicism,Pop,2000s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
user8,34,single,male,yes,183.0,no,hinduism,Metal,1970s,Emotional and Deep,Rarely,"Sometimes, depending on the artist or event"
user9,51,single,female,yes,180.0,no,roman catholicism,Pop,2020s,Romantic and Smooth,Only in specific situations,"Sometimes, depending on the artist or event"
user10,27,single,male,yes,185.0,no,hinduism,Pop,1990s,Relaxing and Chill,Only in specific situations,"No, I prefer not to attend concerts"
user11,25,single,male,yes,188.0,yes,confucianism,K-Pop,2020s,Relaxing and Chill,Only in specific situations,"Sometimes, depending on the artist or event"
user12,24,single,male,yes,188.0,no,confucianism,Pop,2010s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts"
user13,23,single,male,yes,170.0,no,protestant christianity,Jazz,1990s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
user14,30,single,male,yes,188.0,no,confucianism,Rock,1990s,Emotional and Deep,Frequently,"Yes, I love attending concerts"
user15,27,single,female,yes,178.0,no,islam,Pop,2010s,Relaxing and Chill,Only in specific situations,"No, I prefer not to attend concerts"
user16,38,single,male,yes,155.0,no,hinduism,EDM (Electronic Dance Music),2000s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user17,26,single,male,yes,170.0,no,protestant christianity,Dangdut,2020s,Emotional and Deep,Only in specific situations,"Sometimes, depending on the artist or event"
user18,25,single,male,yes,175.0,no,hinduism,Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user19,65,single,female,yes,170.0,no,confucianism,Rock,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
user20,29,single,male,no,190.0,yes,hinduism,Pop Indonesia,2020s,Relaxing and Chill,Only in specific situations,"Yes, I love attending concerts"
user21,18,single,male,yes,183.0,no,islam,Punk,2010s,Upbeat and Energetic,Only in specific situations,"Sometimes, depending on the artist or event"
user22,24,single,male,yes,175.0,yes,buddhism,K-Pop,2020s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts"
user23,27,single,male,yes,170.0,yes,confucianism,Indie/Alternative,2010s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
user24,18,single,female,yes,168.0,no,roman catholicism,EDM (Electronic Dance Music),2010s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts"
user25,20,single,male,yes,178.0,no,confucianism,Dangdut,1970s,Dark and Intense,Only in specific situations,"Yes, I love attending concerts"
user26,23,single,female,yes,175.0,no,roman catholicism,K-Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user27,31,single,female,yes,157.0,no,hinduism,J-Pop,2010s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
user28,25,single,male,yes,185.0,no,protestant christianity,Pop,2000s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
user29,45,single,male,yes,170.0,no,hinduism,Pop,2020s,Romantic and Smooth,Rarely,"Yes, I love attending concerts"
user30,21,single,male,yes,178.0,yes,confucianism,Rock,1990s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
user31,26,single,female,no,173.0,no,buddhism,Jazz,1990s,Romantic and Smooth,Occasionally,"Yes, I love attending concerts"
user32,60,single,male,yes,173.0,yes,buddhism,Jazz,1990s,Relaxing and Chill,Occasionally,"No, I prefer not to attend concerts"
user33,48,single,female,yes,168.0,no,roman catholicism,J-Pop,2010s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts"
user34,27,single,female,yes,163.0,no,protestant christianity,Pop,1990s,Relaxing and Chill,Only in specific situations,"Sometimes, depending on the artist or event"
user35,53,single,male,yes,178.0,no,roman catholicism,Metal,2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user36,39,single,female,yes,163.0,no,roman catholicism,Pop,2010s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
user37,26,single,male,yes,183.0,no,confucianism,K-Pop,2010s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
user38,21,single,female,yes,168.0,yes,roman catholicism,Pop,2020s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user39,35,single,female,yes,178.0,no,confucianism,Indie/Alternative,1990s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts"
user40,20,single,female,yes,178.0,yes,protestant christianity,Country,1990s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
user41,23,single,male,yes,175.0,no,islam,EDM (Electronic Dance Music),2020s,Upbeat and Energetic,Only in specific situations,"Sometimes, depending on the artist or event"
user42,29,single,male,yes,175.0,no,protestant christianity,K-Pop,2020s,Upbeat and Energetic,Only in specific situations,"Sometimes, depending on the artist or event"
user43,39,single,male,yes,170.0,no,roman catholicism,K-Pop,2010s,Emotional and Deep,Only in specific situations,"No, I prefer not to attend concerts"
user44,26,single,male,yes,185.0,no,protestant christianity,K-Pop,2010s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
user45,27,single,female,yes,160.0,yes,islam,Ballad,2010s,Emotional and Deep,Only in specific situations,"No, I prefer not to attend concerts"
user46,23,single,female,yes,173.0,yes,roman catholicism,Pop,2010s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
user47,22,single,female,yes,163.0,yes,roman catholicism,Pop,2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user48,27,single,male,yes,185.0,no,confucianism,Hip-Hop/Rap,2010s,Dark and Intense,Frequently,"No, I prefer not to attend concerts"
user49,33,single,female,yes,170.0,no,islam,Pop,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
user50,29,single,male,yes,180.0,no,islam,Pop Indonesia,2010s,Romantic and Smooth,Only in specific situations,"Sometimes, depending on the artist or event"
user51,24,single,female,yes,173.0,no,roman catholicism,Pop,2000s,Romantic and Smooth,Frequently,"No, I prefer not to attend concerts"
user52,60,single,male,yes,178.0,no,confucianism,Hip-Hop/Rap,2010s,Upbeat and Energetic,Frequently,"No, I prefer not to attend concerts"
user53,28,single,male,yes,175.0,yes,islam,EDM (Electronic Dance Music),2010s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user54,34,single,male,yes,165.0,no,islam,classical,2020s,Dark and Intense,Rarely,"Yes, I love attending concerts"
user55,21,single,female,yes,160.0,no,buddhism,classical,1990s,Upbeat and Energetic,Frequently,"Sometimes, depending on the artist or event"
user56,25,single,female,yes,163.0,no,islam,classical,1990s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
user57,33,single,female,yes,157.0,no,confucianism,dangdut,2020s,Emotional and Deep,Only in specific situations,"Sometimes, depending on the artist or event"
user58,31,single,female,yes,163.0,no,roman catholicism,blues,2000s,Relaxing and Chill,Occasionally,"No, I prefer not to attend concerts"
user59,43,single,female,yes,170.0,no,hinduism,ballad,1970s,Dark and Intense,Rarely,"Yes, I love attending concerts"
user60,32,single,male,yes,183.0,no,confucianism,jazz,2010s,Relaxing and Chill,Rarely,"No, I prefer not to attend concerts"
user61,27,single,male,yes,183.0,no,confucianism,punk,2020s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
user62,23,in a relationship,male,yes,180.0,yes,islam,edm,1980s,Relaxing and Chill,Rarely,"Yes, I love attending concerts"
user63,39,single,male,yes,180.0,no,islam,pop,2020s,Emotional and Deep,Rarely,"Sometimes, depending on the artist or event"
user64,33,single,male,yes,178.0,no,roman catholicism,rock,2020s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts"
user65,29,single,male,yes,173.0,no,roman catholicism,traditional & folk music,1980s,Dark and Intense,Never,"Sometimes, depending on the artist or event"
user66,40,single,female,yes,170.0,no,roman catholicism,dangdut,1980s,Romantic and Smooth,Only in specific situations,"Sometimes, depending on the artist or event"
user67,32,single,female,yes,163.0,yes,confucianism,edm,1970s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
user68,27,in a relationship,female,yes,163.0,no,buddhism,edm,2020s,Upbeat and Energetic,Occasionally,"Yes, I love attending concerts"
user69,20,in a relationship,male,no,178.0,no,protestant christianity,j-pop,2020s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user70,24,single,female,yes,168.0,no,hinduism,hip-hop/rap,1990s,Relaxing and Chill,Never,"No, I prefer not to attend concerts"
user71,34,single,male,yes,178.0,no,roman catholicism,rock,1980s,Emotional and Deep,Frequently,"Yes, I love attending concerts"
user72,27,single,female,yes,157.0,yes,hinduism,traditional & folk music,1970s,Emotional and Deep,Never,"Sometimes, depending on the artist or event"
user73,28,single,female,yes,157.0,no,protestant christianity,soul,1970s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
user74,42,single,female,yes,152.0,no,buddhism,k-pop,2000s,Relaxing and Chill,Only in specific situations,"Yes, I love attending concerts"
user75,34,single,female,yes,175.0,yes,buddhism,pop,1970s,Dark and Intense,Rarely,"Yes, I love attending concerts"
user76,27,in a relationship,male,yes,173.0,no,hinduism,punk,2010s,Dark and Intense,Only in specific situations,"Yes, I love attending concerts"
user77,29,single,female,yes,163.0,yes,confucianism,hip-hop/rap,2000s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
user78,31,single,male,yes,178.0,no,islam,reggae,2020s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
user79,30,single,male,no,185.0,no,islam,edm,2020s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
user80,47,single,female,yes,163.0,no,buddhism,indie/alternative,2020s,Dark and Intense,Frequently,"Sometimes, depending on the artist or event"
user81,37,single,female,yes,163.0,yes,buddhism,j-pop,2010s,Relaxing and Chill,Frequently,"No, I prefer not to attend concerts"
user82,30,single,male,yes,185.0,yes,buddhism,pop,2000s,Upbeat and Energetic,Only in specific situations,"Yes, I love attending concerts"
user83,23,single,female,yes,163.0,yes,buddhism,punk,2000s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
user84,24,single,male,yes,180.0,no,protestant christianity,dangdut,1990s,Romantic and Smooth,Only in specific situations,"No, I prefer not to attend concerts"
user85,25,single,male,yes,163.0,no,roman catholicism,classical,1980s,Dark and Intense,Never,"Yes, I love attending concerts"
user86,26,single,male,yes,175.0,no,islam,indie/alternative,2020s,Dark and Intense,Rarely,"No, I prefer not to attend concerts"
user87,40,single,female,yes,163.0,no,protestant christianity,edm,1970s,Dark and Intense,Frequently,"Yes, I love attending concerts"
user88,21,single,female,yes,160.0,yes,buddhism,pop indonesia,1970s,Dark and Intense,Rarely,"Sometimes, depending on the artist or event"
user89,37,single,female,yes,170.0,no,confucianism,ballad,2020s,Dark and Intense,Never,"Yes, I love attending concerts"
user90,35,single,male,yes,175.0,no,protestant christianity,edm,2000s,Relaxing and Chill,Occasionally,"Sometimes, depending on the artist or event"
user91,23,single,female,yes,170.0,no,roman catholicism,pop,2000s,Relaxing and Chill,Never,"Sometimes, depending on the artist or event"
user92,31,single,male,yes,188.0,yes,roman catholicism,country,1970s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
user93,40,single,male,yes,165.0,no,islam,pop indonesia,1980s,Dark and Intense,Rarely,"Yes, I love attending concerts"
user94,39,single,male,yes,183.0,yes,roman catholicism,soul,1990s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
user95,24,single,female,yes,160.0,yes,hinduism,metal,1990s,Upbeat and Energetic,Never,"No, I prefer not to attend concerts"
user96,28,single,male,yes,178.0,no,hinduism,pop,1990s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
user97,27,single,female,yes,160.0,no,confucianism,j-pop,1970s,Emotional and Deep,Never,"Sometimes, depending on the artist or event"
user98,28,single,female,yes,165.0,no,roman catholicism,pop,1990s,Romantic and Smooth,Never,"No, I prefer not to attend concerts"
user99,38,single,male,yes,170.0,no,hinduism,jazz,2000s,Relaxing and Chill,Rarely,"Yes, I love attending concerts"
user100,21,single,male,yes,188.0,yes,protestant christianity,ballad,1980s,Upbeat and Energetic,Only in specific situations,"No, I prefer not to attend concerts"
user101,33,single,male,yes,188.0,no,hinduism,pop indonesia,2020s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
user102,22,single,male,yes,170.0,no,protestant christianity,pop indonesia,1970s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
user103,28,single,male,yes,190.0,no,protestant christianity,reggae,1990s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
user104,27,single,male,yes,178.0,no,roman catholicism,reggae,1990s,Emotional and Deep,Only in specific situations,"Sometimes, depending on the artist or event"
user105,41,single,male,yes,190.0,yes,roman catholicism,soul,2000s,Relaxing and Chill,Occasionally,"Yes, I love attending concerts"
user106,25,single,male,yes,178.0,no,islam,ballad,1990s,Emotional and Deep,Never,"Yes, I love attending concerts"
user107,39,single,female,yes,168.0,no,hinduism,punk,1970s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts"
user108,29,single,female,yes,173.0,no,islam,indie/alternative,1990s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
user109,31,single,male,yes,180.0,no,roman catholicism,k-pop,1970s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
user110,37,single,female,yes,170.0,no,islam,reggae,1980s,Relaxing and Chill,Only in specific situations,"Yes, I love attending concerts"
user111,28,single,male,yes,170.0,no,buddhism,classical,2000s,Upbeat and Energetic,Rarely,"Yes, I love attending concerts"
user112,27,single,female,yes,160.0,no,confucianism,edm,1990s,Emotional and Deep,Only in specific situations,"Sometimes, depending on the artist or event"
user113,32,single,male,yes,188.0,no,confucianism,classical,1970s,Emotional and Deep,Occasionally,"No, I prefer not to attend concerts"
user114,28,single,male,yes,178.0,no,protestant christianity,ballad,1990s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
user115,27,single,male,yes,180.0,no,buddhism,rock,1990s,Upbeat and Energetic,Never,"Yes, I love attending concerts"
user116,37,single,male,yes,190.0,no,islam,pop indonesia,2010s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
user117,34,single,female,yes,155.0,no,protestant christianity,metal,2010s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
user118,42,single,female,yes,173.0,no,hinduism,indie/alternative,1990s,Romantic and Smooth,Only in specific situations,"Yes, I love attending concerts"
user119,35,in a relationship,male,yes,165.0,no,confucianism,jazz,1990s,Emotional and Deep,Frequently,"No, I prefer not to attend concerts"
user120,28,single,male,yes,173.0,no,confucianism,dangdut,2020s,Relaxing and Chill,Never,"Yes, I love attending concerts"
user121,33,single,female,yes,170.0,no,protestant christianity,edm,1990s,Dark and Intense,Occasionally,"Sometimes, depending on the artist or event"
user122,18,single,female,no,155.0,yes,protestant christianity,classical,2010s,Dark and Intense,Frequently,"Yes, I love attending concerts"
user123,42,single,female,yes,175.0,no,protestant christianity,pop,2020s,Emotional and Deep,Never,"Sometimes, depending on the artist or event"
user124,28,single,female,yes,160.0,no,protestant christianity,k-pop,1970s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event"
user125,25,single,female,yes,168.0,yes,islam,punk,2020s,Relaxing and Chill,Only in specific situations,"Yes, I love attending concerts"
user126,28,single,male,yes,183.0,no,hinduism,soul,2020s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
user127,23,single,female,yes,170.0,no,roman catholicism,country,1970s,Emotional and Deep,Only in specific situations,"Sometimes, depending on the artist or event"
user128,26,single,female,yes,173.0,yes,roman catholicism,country,2010s,Dark and Intense,Frequently,"Yes, I love attending concerts"
user129,24,single,male,yes,183.0,yes,protestant christianity,rock,1990s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
user130,31,single,male,yes,183.0,no,hinduism,r&b,2000s,Emotional and Deep,Only in specific situations,"No, I prefer not to attend concerts"
user131,33,single,male,yes,183.0,no,islam,j-pop,1990s,Relaxing and Chill,Frequently,"Yes, I love attending concerts"
user132,29,single,female,yes,163.0,no,hinduism,punk,1990s,Upbeat and Energetic,Occasionally,"Sometimes, depending on the artist or event"
user133,29,single,male,yes,185.0,yes,confucianism,classical,1980s,Romantic and Smooth,Rarely,"Yes, I love attending concerts"
user134,26,single,male,yes,170.0,yes,islam,pop indonesia,1980s,Upbeat and Energetic,Occasionally,"No, I prefer not to attend concerts"
user135,35,single,female,yes,168.0,no,confucianism,edm,1980s,Dark and Intense,Occasionally,"No, I prefer not to attend concerts"
user136,39,single,male,yes,188.0,no,roman catholicism,r&b,2010s,Emotional and Deep,Occasionally,"Sometimes, depending on the artist or event"
user137,39,single,female,yes,163.0,no,hinduism,indie/alternative,2020s,Dark and Intense,Frequently,"Yes, I love attending concerts"
user138,46,single,male,no,175.0,no,protestant christianity,soul,2020s,Emotional and Deep,Rarely,"No, I prefer not to attend concerts"
user139,26,single,female,yes,180.0,no,protestant christianity,pop indonesia,1970s,Upbeat and Energetic,Rarely,"Sometimes, depending on the artist or event"
user140,20,single,male,yes,185.0,yes,confucianism,r&b,1970s,Upbeat and Energetic,Never,"Sometimes, depending on the artist or event"
user141,21,single,female,yes,173.0,no,protestant christianity,reggae,1970s,Dark and Intense,Rarely,"Yes, I love attending concerts"
user142,25,single,female,yes,152.0,no,roman catholicism,j-pop,1970s,Upbeat and Energetic,Frequently,"Yes, I love attending concerts"
user143,58,single,male,yes,180.0,no,confucianism,r&b,1980s,Romantic and Smooth,Rarely,"No, I prefer not to attend concerts"
user144,53,single,male,yes,173.0,no,hinduism,j-pop,2010s,Romantic and Smooth,Frequently,"Yes, I love attending concerts"
user145,24,single,female,yes,170.0,no,protestant christianity,pop indonesia,1970s,Relaxing and Chill,Frequently,"Sometimes, depending on the artist or event"
user146,45,single,female,no,168.0,no,protestant christianity,jazz,2000s,Romantic and Smooth,Rarely,"Sometimes, depending on the artist or event"
user147,25,single,female,yes,157.0,yes,confucianism,punk,2020s,Romantic and Smooth,Never,"Sometimes, depending on the artist or event"
